16 89.1845000805 
24 133.2417408140 
32 176.9479916724 
48 263.3241686465 
64 348.3456676166 
96 514.4501399916 
128 675.5028818673 
192 983.3477948454 
256 1273.5414079512 
384 1806.7179974446 
512 2285.0420263501 
768 3107.8329559598 
1024 3790.2179957501 
1536 4856.5728082370 
2048 5651.5935707877 
3072 6757.8539790493 
4096 7491.0107929922 
6144 8402.6060896134 
8192 8946.9944423986 
12288 9566.8092311960 
16384 9910.0759952187 
24576 10278.8930446555 
32768 10473.7912876658 
49152 10676.2233160548 
65536 10780.4023401036 
98304 10886.6345658584 
131072 10940.5396913680 
196608 10994.9812952549 
262144 11022.4057855720 
393216 11049.9674263068 
524288 11063.8000000303 
