16 111.546 103.939
24 164.5 151.615
32 213.683 191.817
48 315.117 295.285
64 407.547 385.356
96 584.029 549.629
128 744.017 700.744
192 1014.26 959.876
256 1247.43 1187.44
384 1618.43 1552.91
512 1890.79 1813.74
768 2276.72 2193.65
1024 2547.32 2468.35
1536 2673.45 2595.17
2048 3344.7 3240.48
3072 4048.48 3935.04
4096 4846.26 4697.72
6144 5577.76 5406.05
8192 6261.56 6067.76
12288 6843.25 6621.73
16384 7181 6940.4
24576 7769.05 7521.33
32768 7933.05 7688.78
